,case_id,IPclass,stat_flags_mean,stat_msg_size_mean,stat_flowDuration_tot,trace_is_fit_TR,trace_fitness_TR,missing_tokens_TR,consumed_tokens_TR,remaining_tokens_TR,produced_tokens_TR,cost_AL,visited_states_AL,queued_states_AL,traversed_arcs_AL,lp_solved_AL,fitness_AL,label
0,192.168.1.16_40656_192.168.1.17_4840,C,1.0,226.74697754749567,29.542158603668206,1,1.0,0,6947,0,6947,3472,13878,31231,34698,1,1.0,1
1,192.168.1.16_44854_192.168.1.18_4840,C,1.0,226.6887417218543,29.56334948539733,1,1.0,0,6945,0,6945,3471,13874,31222,34688,1,1.0,1
2,192.168.1.18_45388_192.168.1.16_4840,C,1.0,226.68219255893212,30.341138839721673,1,4,0,7041,0,7041,3519,14066,31654,35168,2,1.0,1
3,192.168.1.19_50892_192.168.1.16_4840,C,1.0,226.99907063197026,9.289257764816279,0,0.999534233814625,1,2147,1,2147,21072,4285,9646,10716,3829,0.9981498612395929,4
4,192.168.1.19_58654_192.168.1.17_4840,C,1.0,227.88522304832713,735.8266263008118,0,0.9993008622698671,3,4291,3,4291,82142,8566,19274,21425,8591,0.9962911451089476,4
5,192.168.1.18_35708_192.168.1.17_4840,C,1.0,226.74211871627378,30.290407896041863,1,1.0,0,7041,0,7041,3519,14066,31654,35168,2,1.0,1
6,192.168.1.19_44376_192.168.1.18_4840,C,1.0,226.94264569842738,9.310164451599116,1,1.0,0,2159,0,2159,11078,4301,9686,10757,3717,0.9990791896869244,4
7,192.168.1.19_60876_192.168.1.20_4840,C,1.0,227.0557103064067,9.154108285903925,0,0.9995346672871103,1,2149,1,2149,21073,4289,9647,10726,4317,0.9981515711645101,4
8,192.168.1.19_54924_192.168.1.21_4840,C,1.0,226.81203703703704,9.298580408096306,1,1.0,0,2155,0,2155,21076,4293,9660,10739,4299,0.9981566820276497,4
9,192.168.1.20_46374_192.168.1.21_4840,C,1.0,226.86503067484662,15.694720745086663,1,1.0,0,3585,0,3585,1791,7154,16102,17888,1,1.0,1
10,192.168.1.20_57472_192.168.1.22_4840,C,1.0,226.89459007250417,15.325676918029778,1,1.0,0,3585,0,3585,1791,7154,16102,17888,2,1.0,1
